OutputPropertiesFactory.java:286, OutputPropertiesFactory.java:289
WalkingIterator.java:269, WalkingIterator.java:248
AxesWalker.java:223, ReverseAxesWalker.java:76
ReverseAxesWalker.java:65, ReverseAxesWalker.java:79
AxesWalker.java:182, ReverseAxesWalker.java:81
AxesWalker.java:182, ReverseAxesWalker.java:82
PredicatedNodeTest.java:519, PredicatedNodeTest.java:464
AxesWalker.java:131, AxesWalker.java:377
AxesWalker.java:131, AxesWalker.java:388
AxesWalker.java:322, AxesWalker.java:223
AxesWalker.java:392, AxesWalker.java:392
AxesWalker.java:223, AxesWalker.java:322
AxesWalker.java:182, AxesWalker.java:325
AxesWalker.java:181, AxesWalker.java:327
AxesWalker.java:183, AxesWalker.java:327
AxesWalker.java:179, AxesWalker.java:327
AxesWalker.java:182, AxesWalker.java:328
AxesWalker.java:179, AxesWalker.java:338
AxesWalker.java:179, AxesWalker.java:341
WalkingIterator.java:269, WalkingIterator.java:237
LocPathIterator.java:686, LocPathIterator.java:766
LocPathIterator.java:687, LocPathIterator.java:769
ReverseAxesWalker.java:65, ReverseAxesWalker.java:65
AxesWalker.java:179, AxesWalker.java:179
AxesWalker.java:180, AxesWalker.java:180
AxesWalker.java:181, AxesWalker.java:181
AxesWalker.java:182, AxesWalker.java:182
AxesWalker.java:183, AxesWalker.java:183
AxesWalker.java:131, AxesWalker.java:274
WalkingIterator.java:269, WalkingIterator.java:269
LocPathIterator.java:682, LocPathIterator.java:682
LocPathIterator.java:684, LocPathIterator.java:684
LocPathIterator.java:685, LocPathIterator.java:685
LocPathIterator.java:686, LocPathIterator.java:686
LocPathIterator.java:687, LocPathIterator.java:687
LocPathIterator.java:688, LocPathIterator.java:688
LocPathIterator.java:689, LocPathIterator.java:689
LocPathIterator.java:682, LocPathIterator.java:179
StringBufferPool.java:33, StringBufferPool.java:44
FastStringBuffer.java:210, FastStringBuffer.java:488
FastStringBuffer.java:326, FastStringBuffer.java:488
FastStringBuffer.java:221, FastStringBuffer.java:488
FastStringBuffer.java:219, FastStringBuffer.java:489
FastStringBuffer.java:335, FastStringBuffer.java:489
FastStringBuffer.java:210, FastStringBuffer.java:499
StringBufferPool.java:33, StringBufferPool.java:58
FastStringBuffer.java:326, FastStringBuffer.java:499
FastStringBuffer.java:221, FastStringBuffer.java:499
FastStringBuffer.java:335, FastStringBuffer.java:499
FastStringBuffer.java:335, FastStringBuffer.java:547
FastStringBuffer.java:342, FastStringBuffer.java:547
FastStringBuffer.java:326, FastStringBuffer.java:401
FastStringBuffer.java:216, FastStringBuffer.java:401
FastStringBuffer.java:335, FastStringBuffer.java:401
FastStringBuffer.java:216, FastStringBuffer.java:917
FastStringBuffer.java:216, FastStringBuffer.java:918
FastStringBuffer.java:220, FastStringBuffer.java:919
FastStringBuffer.java:171, FastStringBuffer.java:933
FastStringBuffer.java:210, FastStringBuffer.java:936
FastStringBuffer.java:221, FastStringBuffer.java:936
BasicTestIterator.java:191, LocPathIterator.java:373
BasicTestIterator.java:201, LocPathIterator.java:378
LocPathIterator.java:684, ChildTestIterator.java:127
ChildTestIterator.java:171, ChildTestIterator.java:127
BasicTestIterator.java:191, BasicTestIterator.java:135
LocPathIterator.java:687, BasicTestIterator.java:141
LocPathIterator.java:378, BasicTestIterator.java:150
LocPathIterator.java:682, BasicTestIterator.java:152
LocPathIterator.java:378, BasicTestIterator.java:157
LocPathIterator.java:687, AttributeIterator.java:56
LocPathIterator.java:684, AttributeIterator.java:56
LocPathIterator.java:688, AttributeIterator.java:56
LocPathIterator.java:687, AttributeIterator.java:59
BasicTestIterator.java:191, BasicTestIterator.java:191
LocPathIterator.java:378, BasicTestIterator.java:201
ChildTestIterator.java:171, ChildTestIterator.java:171
XPathContext.java:350, IntVector.java:238
ChildIterator.java:103, LocPathIterator.java:373
ChildIterator.java:103, ChildIterator.java:86
LocPathIterator.java:687, ChildIterator.java:91
LocPathIterator.java:684, ChildIterator.java:91
LocPathIterator.java:688, ChildIterator.java:91
LocPathIterator.java:686, ChildIterator.java:98
LocPathIterator.java:684, OneStepIteratorForward.java:91
ChildTestIterator.java:171, OneStepIteratorForward.java:91
LocPathIterator.java:687, OneStepIteratorForward.java:140
ChildTestIterator.java:171, OneStepIteratorForward.java:140
LocPathIterator.java:688, OneStepIteratorForward.java:140
LocPathIterator.java:687, OneStepIteratorForward.java:143
LocPathIterator.java:686, BasicTestIterator.java:186
LocPathIterator.java:378, BasicTestIterator.java:198
ChildIterator.java:103, ChildIterator.java:103
ElemNumber.java:1349, ElemNumber.java:1345
ElemNumber.java:1349, ElemNumber.java:1351
CharArrayWrapper.java:32, CharArrayWrapper.java:40
CharArrayWrapper.java:32, CharArrayWrapper.java:36
XResources_de.java:41, CharArrayWrapper.java:36
FastStringBuffer.java:210, FastStringBuffer.java:653
FastStringBuffer.java:326, FastStringBuffer.java:653
FastStringBuffer.java:221, FastStringBuffer.java:653
FastStringBuffer.java:219, FastStringBuffer.java:654
FastStringBuffer.java:335, FastStringBuffer.java:654
FastStringBuffer.java:210, FastStringBuffer.java:664
FastStringBuffer.java:326, FastStringBuffer.java:664
FastStringBuffer.java:221, FastStringBuffer.java:664
FastStringBuffer.java:335, FastStringBuffer.java:664
FastStringBuffer.java:335, FastStringBuffer.java:712
FastStringBuffer.java:342, FastStringBuffer.java:712
LocPathIterator.java:772, LocPathIterator.java:373
ReverseAxesWalker.java:85, AxesWalker.java:223
LocPathIterator.java:772, WalkingIterator.java:171
ReverseAxesWalker.java:85, ReverseAxesWalker.java:76
AxesWalker.java:339, AxesWalker.java:223
AxesWalker.java:368, AxesWalker.java:392
AxesWalker.java:339, AxesWalker.java:322
ElemDesc.java:42, ElemDesc.java:175
SAX2DTM.java:287, SAX2DTM.java:1729
SAX2DTM.java:894, SAX2DTM.java:1729
SAX2DTM.java:1729, SAX2DTM.java:894
VariableStack.java:397, VariableStack.java:413
SAX2DTM.java:287, SAX2DTM.java:1373
PredicatedNodeTest.java:519, FilterExprWalker.java:131
LocPathIterator.java:370, LocPathIterator.java:889
LocPathIterator.java:370, LocPathIterator.java:894
LocPathIterator.java:378, FilterExprWalker.java:131
FilterExprWalker.java:117, FilterExprWalker.java:131
FilterExprWalker.java:117, FilterExprWalker.java:195
FilterExprWalker.java:117, FilterExprWalker.java:197
LocPathIterator.java:772, LocPathIterator.java:772
FilterExprWalker.java:117, FilterExprWalker.java:117
BasicTestIterator.java:135, LocPathIterator.java:373
BasicTestIterator.java:198, LocPathIterator.java:378
LocPathIterator.java:373, BasicTestIterator.java:135
FilterExprWalker.java:117, FilterExprWalker.java:115
CharInfo.java:759, CharInfo.java:802
StackGuard.java:46, StackGuard.java:143
StackGuard.java:46, StackGuard.java:146
LocPathIterator.java:687, ChildTestIterator.java:83
ChildTestIterator.java:171, ChildTestIterator.java:83
LocPathIterator.java:688, ChildTestIterator.java:83
LocPathIterator.java:687, ChildTestIterator.java:95
LocPathIterator.java:373, BasicTestIterator.java:191
BasicTestIterator.java:135, BasicTestIterator.java:191
Lexer.java:114, NodeSequence.java:66
NodeSequence.java:66, Lexer.java:416
Lexer.java:416, NodeSequence.java:66
ToStream.java:1525, SuballocatedIntVector.java:151
ToStream.java:1525, SuballocatedIntVector.java:390
AxesWalker.java:223, AxesWalker.java:339
AxesWalker.java:322, AxesWalker.java:339
AxesWalker.java:392, AxesWalker.java:368
AxesWalker.java:223, ReverseAxesWalker.java:85
ReverseAxesWalker.java:76, ReverseAxesWalker.java:85
LocPathIterator.java:373, LocPathIterator.java:772
WalkingIterator.java:171, LocPathIterator.java:772
ToStream.java:1525, SuballocatedIntVector.java:174
LocPathIterator.java:684, OneStepIterator.java:97
OneStepIterator.java:113, OneStepIterator.java:97
OneStepIterator.java:113, OneStepIterator.java:98
LocPathIterator.java:688, OneStepIterator.java:98
OneStepIterator.java:113, OneStepIterator.java:125
LocPathIterator.java:687, OneStepIterator.java:125
OneStepIterator.java:113, OneStepIterator.java:113
ToStream.java:1525, NodeSequence.java:137
AxesWalker.java:339, AxesWalker.java:339
ReverseAxesWalker.java:85, ReverseAxesWalker.java:85
ToStream.java:1525, SerializerBase.java:1658
SuballocatedIntVector.java:151, ObjectVector.java:316
ObjectVector.java:316, SuballocatedIntVector.java:407
ToStream.java:1525, XNumber.java:49
