OutputPropertiesFactory.java:286, OutputPropertiesFactory.java:289
AxesWalker.java:179, AxesWalker.java:327
AxesWalker.java:182, AxesWalker.java:328
AxesWalker.java:179, AxesWalker.java:338
AxesWalker.java:179, AxesWalker.java:341
WalkingIterator.java:269, WalkingIterator.java:237
LocPathIterator.java:686, LocPathIterator.java:766
LocPathIterator.java:687, LocPathIterator.java:769
ReverseAxesWalker.java:65, ReverseAxesWalker.java:65
AxesWalker.java:179, AxesWalker.java:179
AxesWalker.java:180, AxesWalker.java:180
AxesWalker.java:181, AxesWalker.java:181
AxesWalker.java:182, AxesWalker.java:182
AxesWalker.java:183, AxesWalker.java:183
WalkingIterator.java:269, WalkingIterator.java:269
LocPathIterator.java:682, LocPathIterator.java:682
LocPathIterator.java:684, LocPathIterator.java:684
LocPathIterator.java:685, LocPathIterator.java:685
LocPathIterator.java:686, LocPathIterator.java:686
LocPathIterator.java:687, LocPathIterator.java:687
LocPathIterator.java:688, LocPathIterator.java:688
LocPathIterator.java:689, LocPathIterator.java:689
LocPathIterator.java:682, LocPathIterator.java:179
StringBufferPool.java:33, StringBufferPool.java:44
FastStringBuffer.java:210, FastStringBuffer.java:488
FastStringBuffer.java:326, FastStringBuffer.java:488
FastStringBuffer.java:335, FastStringBuffer.java:489
FastStringBuffer.java:342, FastStringBuffer.java:547
BasicTestIterator.java:191, LocPathIterator.java:373
BasicTestIterator.java:201, LocPathIterator.java:378
LocPathIterator.java:684, ChildTestIterator.java:127
ChildTestIterator.java:171, ChildTestIterator.java:127
BasicTestIterator.java:191, BasicTestIterator.java:135
LocPathIterator.java:687, BasicTestIterator.java:141
LocPathIterator.java:378, BasicTestIterator.java:150
LocPathIterator.java:682, BasicTestIterator.java:152
LocPathIterator.java:378, BasicTestIterator.java:157
LocPathIterator.java:687, AttributeIterator.java:56
LocPathIterator.java:684, AttributeIterator.java:56
LocPathIterator.java:688, AttributeIterator.java:56
LocPathIterator.java:687, AttributeIterator.java:59
BasicTestIterator.java:191, BasicTestIterator.java:191
LocPathIterator.java:378, BasicTestIterator.java:201
ChildTestIterator.java:171, ChildTestIterator.java:171
ChildIterator.java:103, LocPathIterator.java:373
ChildIterator.java:103, ChildIterator.java:86
LocPathIterator.java:687, ChildIterator.java:91
LocPathIterator.java:684, ChildIterator.java:91
LocPathIterator.java:688, ChildIterator.java:91
LocPathIterator.java:686, ChildIterator.java:98
LocPathIterator.java:684, OneStepIteratorForward.java:91
ChildTestIterator.java:171, OneStepIteratorForward.java:91
LocPathIterator.java:687, OneStepIteratorForward.java:140
ChildTestIterator.java:171, OneStepIteratorForward.java:140
LocPathIterator.java:688, OneStepIteratorForward.java:140
LocPathIterator.java:687, OneStepIteratorForward.java:143
LocPathIterator.java:686, BasicTestIterator.java:186
LocPathIterator.java:378, BasicTestIterator.java:198
ChildIterator.java:103, ChildIterator.java:103
ElemNumber.java:1349, ElemNumber.java:1345
FastStringBuffer.java:326, FastStringBuffer.java:653
FastStringBuffer.java:335, FastStringBuffer.java:654
FastStringBuffer.java:342, FastStringBuffer.java:712
SAX2DTM.java:287, SAX2DTM.java:1729
SAX2DTM.java:894, SAX2DTM.java:1729
SAX2DTM.java:1729, SAX2DTM.java:894
VariableStack.java:397, VariableStack.java:413
SAX2DTM.java:287, SAX2DTM.java:1373
LocPathIterator.java:772, LocPathIterator.java:373
LocPathIterator.java:378, FilterExprWalker.java:131
FilterExprWalker.java:117, FilterExprWalker.java:131
LocPathIterator.java:772, WalkingIterator.java:171
FilterExprWalker.java:117, FilterExprWalker.java:195
FilterExprWalker.java:117, FilterExprWalker.java:197
LocPathIterator.java:772, LocPathIterator.java:772
FilterExprWalker.java:117, FilterExprWalker.java:117
ToHTMLStream.java:2141, ToHTMLStream.java:2307
FastStringBuffer.java:210, FastStringBuffer.java:653
FilterExprWalker.java:117, FilterExprWalker.java:115
BasicTestIterator.java:135, LocPathIterator.java:373
BasicTestIterator.java:198, LocPathIterator.java:378
LocPathIterator.java:373, BasicTestIterator.java:135
ReverseAxesWalker.java:85, AxesWalker.java:223
ReverseAxesWalker.java:85, ReverseAxesWalker.java:76
AxesWalker.java:339, AxesWalker.java:223
AxesWalker.java:368, AxesWalker.java:392
AxesWalker.java:339, AxesWalker.java:322
LocPathIterator.java:687, ChildTestIterator.java:83
ChildTestIterator.java:171, ChildTestIterator.java:83
LocPathIterator.java:688, ChildTestIterator.java:83
LocPathIterator.java:687, ChildTestIterator.java:95
LocPathIterator.java:373, BasicTestIterator.java:191
BasicTestIterator.java:135, BasicTestIterator.java:191
Lexer.java:114, NodeSequence.java:66
NodeSequence.java:66, Lexer.java:416
Lexer.java:416, NodeSequence.java:66
ToStream.java:1525, SuballocatedIntVector.java:151
ToStream.java:1525, SuballocatedIntVector.java:390
AxesWalker.java:223, AxesWalker.java:339
AxesWalker.java:322, AxesWalker.java:339
AxesWalker.java:392, AxesWalker.java:368
AxesWalker.java:223, ReverseAxesWalker.java:85
ReverseAxesWalker.java:76, ReverseAxesWalker.java:85
LocPathIterator.java:373, LocPathIterator.java:772
WalkingIterator.java:171, LocPathIterator.java:772
ToStream.java:1525, SuballocatedIntVector.java:174
ToStream.java:1525, NodeSequence.java:137
ToStream.java:1525, SerializerBase.java:1658
SuballocatedIntVector.java:151, ObjectVector.java:316
ObjectVector.java:316, SuballocatedIntVector.java:407
ToStream.java:1525, XNumber.java:49
